,source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank,logfc.logfc_comb,logfc.rank,sca.LRscore,sca.rank,cellphonedb.pvalue,cellphonedb.rank
89,thal_proj,pfc_rgc,SEMA3A,NRP1_PLXNA2,0.844598291,935.2,0.095554421,504,0.675117871,840,0.424745303,964,0.765882559,1789,0,579
90,thal_proj,pfc_rgc,DLL3,NOTCH2,0.862410094,894.2,0.130906459,389,0.590623483,970,0.619438016,697,0.754473124,1836,0,579
91,thal_proj,pfc_rgc,DLK2,NOTCH1,0.907933462,917.6,0.207461522,229,0.681821487,831,0.412791471,985,0.69745746,1964,0,579
92,thal_proj,pfc_rgc,SPARC,ENG,0.926540717,857.6,0.041694664,991,2.167996633,150,0.625623832,690,0.744342233,1878,0,579
93,thal_proj,pfc_rgc,DLL3,NOTCH1,1,1109.6,0.136716638,377,0.56049483,1016,0.360161575,1067,0.735461876,1893,0.001,1195
94,thal_proj,pfc_rgc,VEGFA,ITGAV,1,996.6,0.12910464,392,0.593792751,964,0.331441647,1106,0.71598945,1942,0,579
95,thal_proj,pfc_rgc,MFGE8,ITGAV,1,1077.8,0.110437197,448,0.46141235,1182,0.263419651,1204,0.681257383,1976,0,579
96,thal_proj,pfc_rgc,AGRN,DAG1,1,967.6,0.074404292,620,0.729362107,773,0.336153783,1099,0.770588547,1767,0,579
97,thal_proj,pfc_rgc,GDF11,ACTR2,1,1049,0.072630859,636,0.545290127,1042,0.225559636,1280,0.782084385,1708,0,579
98,thal_proj,pfc_rgc,ACTR2,LDLR,1,998.8,0.062529795,716,0.505957484,1107,0.429655207,950,0.791244993,1642,0,579
99,thal_proj,pfc_rgc,CALR,ITGAV,1,1030.8,0.058796809,760,0.544044086,1044,0.305241855,1141,0.793315924,1630,0,579
100,thal_proj,pfc_rgc,HSPA8,LDLR,1,1129.4,0.051998027,842,0.471857433,1163,0.126739708,1442,0.861686831,942,0.002,1258
101,thal_proj,pfc_rgc,LRPAP1,LDLR,1,1417.1,0.04416775,956,0.336823605,1377,0.173857912,1367,0.719021114,1935,0.017,1450.5
