,source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank,logfc.logfc_comb,logfc.rank,sca.LRscore,sca.rank,cellphonedb.pvalue,cellphonedb.rank
66,thal_proj,pfc_subplate,CALR,LRP1,1,1138,0.032568745,1162,0.434551431,1222,0.255857684,1219,0.811023075,1508,0,579
67,thal_proj,pfc_subplate,SLIT1,ROBO1,1,1575,0.02800569,1266,0.153382166,1670,-0.055765826,1646,0.775037856,1744,0.064,1549
68,thal_proj,pfc_subplate,PSAP,LRP1,1,1175.8,0.027468859,1275,0.3645489,1320,0.09060507,1493,0.841495597,1212,0,579
69,thal_proj,pfc_subplate,CNTN1,PTPRZ1,1,1057.4,0.026442004,1298,0.842079658,653,-0.170891978,1717,0.913153873,361,0.002,1258
70,thal_proj,pfc_subplate,SLITRK2,PTPRS,1,1554.7,0.026060945,1305,0.164134439,1659,0.057838283,1534,0.778604701,1725,0.066,1550.5
71,thal_proj,pfc_subplate,NCAM1,PTPRZ1,1,894.4,0.02225058,1388,0.801568482,694,-0.005816113,1596,0.929843974,215,0,579
72,thal_proj,pfc_subplate,L1CAM,PTPRZ1,1,1429.6,0.020284115,1431,0.356433883,1337,-0.613055056,1898,0.87730733,741,0.434,1741
73,thal_proj,pfc_subplate,LRPAP1,LRP1,1,1658.7,0.020221998,1433,0.149525564,1677,-0.086037024,1670,0.724088998,1924,0.094,1589.5
74,thal_proj,pfc_subplate,HSP90B1,LRP1,1,1531.6,0.018609303,1479,0.240692603,1543,-0.035319119,1624,0.794270823,1622,0.008,1390
75,thal_proj,pfc_subplate,SORBS1,INSR,1,1575.9,0.015976888,1569,0.219063398,1578,0.051974981,1537,0.774966412,1745,0.017,1450.5
76,thal_proj,pfc_subplate,MDK,LRP1,1,1739.2,0.014389419,1609,0.083626615,1781,-0.363521708,1817,0.768436006,1777,0.319,1712
77,thal_proj,pfc_subplate,MDK,NCL,1,1533,0.012815739,1658,0.144381218,1686,-0.364150986,1819,0.862397098,937,0.074,1565
78,thal_proj,pfc_subplate,PTN,PTPRZ1,1,1319.3,0.011215128,1714,0.284624439,1467,-0.551840165,1880,0.930192141,210,0.004,1325.5
79,thal_proj,pfc_subplate,NAMPT,INSR,1,1516.7,0.010478021,1740,0.274649925,1482,0.238460777,1250,0.766715391,1786,0.004,1325.5
80,thal_proj,pfc_subplate,MDK,PTPRZ1,1,1838,0.005162676,1913,-0.198007093,1967,-1.396290636,1978,0.822216826,1410,0.993,1922
81,thal_proj,pfc_subplate,B2M,TFRC,1,1792.4,0.003550418,1964,0.14652657,1683,-0.367553339,1823,0.759705678,1815,0.214,1677
