Uniprot	Gene Symbol
UniProtKB:Q5JR59	MTUS2
UniProtKB:Q8NCR6	SPMIP6
UniProtKB:Q9Y6V0	PCLO
UniProtKB:Q9Y5Y2	NUBP2
UniProtKB:Q9Y697	NFS1
UniProtKB:Q9Y696	CLIC4
UniProtKB:Q9Y5X5	NPFFR2
UniProtKB:Q9Y5X0	SNX10
UniProtKB:Q9Y657	SPIN1
UniProtKB:Q9Y5S2	CDC42BPB
UniProtKB:P47756	CAPZB
UniProtKB:Q96DB5	RMDN1
UniProtKB:Q9Y623	MYH4
UniProtKB:Q9UG01	IFT172
UniProtKB:Q9Y615	ACTL7A
UniProtKB:Q9Y614	ACTL7B
UniProtKB:P17081	RHOQ
UniProtKB:Q8NFY9	KBTBD8
UniProtKB:Q9Y5M8	SRPRB
UniProtKB:P17066	HSPA6
UniProtKB:A0AVF1	IFT56
UniProtKB:Q8NFW9	MYRIP
UniProtKB:Q9Y5K8	ATP6V1D
UniProtKB:Q9Y5K6	CD2AP
UniProtKB:Q9UFH2	DNAH17
UniProtKB:Q8NG68	TTL
UniProtKB:O00519	FAAH
UniProtKB:Q9UFE4	CCDC39
UniProtKB:P20591	MX1
UniProtKB:Q9UFD9	RIMBP3
UniProtKB:O75083	WDR1
UniProtKB:Q96CT7	CCDC124
UniProtKB:B2RTY4	MYO9A
UniProtKB:O95631	NTN1
UniProtKB:Q9UFC0	LRWD1
UniProtKB:P20592	MX2
UniProtKB:P17014	ZNF12
UniProtKB:Q8NEF3	CCDC112
UniProtKB:Q9Y5B8	NME7
UniProtKB:Q5TZA2	CROCC
UniProtKB:Q9Y5B0	CTDP1
UniProtKB:O95678	KRT75
UniProtKB:O95684	CEP43
UniProtKB:Q96CN5	LRRC45
UniProtKB:Q96BM9	ARL8A
UniProtKB:Q8NFJ9	BBS1
UniProtKB:Q8NEM2	SHCBP1
UniProtKB:Q9UEY8	ADD3
UniProtKB:Q8NFG4	FLCN
UniProtKB:Q96BQ3	TRIM43
UniProtKB:Q9Y4B5	MTCL1
UniProtKB:Q96BK5	PINX1
UniProtKB:Q9Y5A9	YTHDF2
UniProtKB:Q8NEE6	FBXL13
UniProtKB:Q96CS2	HAUS1
UniProtKB:Q9Y496	KIF3A
UniProtKB:Q9Y490	TLN1
UniProtKB:P27105	STOM
UniProtKB:Q9Y471	CMAHP
UniProtKB:Q9UDT6	CLIP2
UniProtKB:Q8NEB9	PIK3C3
UniProtKB:Q96BD8	SKA1
UniProtKB:Q9Y3P9	RABGAP1
UniProtKB:P30622	CLIP1
UniProtKB:Q9Y3M2	CBY1
UniProtKB:Q96AZ1	EEF1AKMT3
UniProtKB:Q8WUX9	CHMP7
UniProtKB:Q96AY4	TTC28
UniProtKB:Q96B97	SH3KBP1
UniProtKB:B2RC85	RSPH10B2
UniProtKB:O95398	RAPGEF3
UniProtKB:Q9Y664	KPTN
UniProtKB:O75366	AVIL
UniProtKB:Q9Y3E7	CHMP3
UniProtKB:O75376	NCOR1
UniProtKB:O95352	ATG7
UniProtKB:Q9Y3D8	AK6
UniProtKB:Q9Y3D0	CIAO2B
UniProtKB:Q8NE09	RGS22
UniProtKB:Q8NDM7	CFAP43
UniProtKB:Q9Y3A5	SBDS
UniProtKB:Q8NDL9	AGBL5
UniProtKB:P17252	PRKCA
UniProtKB:P20339	RAB5A
UniProtKB:Q96HH9	GRAMD2B
UniProtKB:Q16513	PKN2
UniProtKB:Q5JU67	CFAP157
UniProtKB:Q9H204	MED28
UniProtKB:Q9UJU6	DBNL
UniProtKB:Q9UJT2	TSKS
UniProtKB:Q9UJT1	TUBD1
UniProtKB:Q9UJT0	TUBE1
UniProtKB:Q674X7	KAZN
UniProtKB:Q9H1K6	TLNRD1
UniProtKB:Q96HB5	CCDC120
UniProtKB:Q9UJP4	KLHL21
UniProtKB:Q5JU00	TCTE1
UniProtKB:Q9H1H9	KIF13A
UniProtKB:P17483	HOXB4
UniProtKB:P0DJI8	SAA1
UniProtKB:O95999	BCL10
UniProtKB:O95996	APC2
UniProtKB:O95990	FAM107A
UniProtKB:Q9UJD0	RIMS3
UniProtKB:Q96H55	MYO19
UniProtKB:Q9UJC3	HOOK1
UniProtKB:O95948	ONECUT2
UniProtKB:O75449	KATNA1
UniProtKB:O95922	TTLL1
UniProtKB:Q9H0W5	CCDC8
UniProtKB:O75419	CDC45
UniProtKB:P20929	NEB
UniProtKB:Q9H0R8	GABARAPL1
UniProtKB:Q9UJ68	MSRA
UniProtKB:Q5JST6	EFHC2
UniProtKB:P37198	NUP62
UniProtKB:Q9H0N0	RAB6C
UniProtKB:Q5JSS6	MEIG1
UniProtKB:Q96GE4	CEP95
UniProtKB:Q96AE7	TTC17
UniProtKB:Q9Y366	IFT52
UniProtKB:Q9Y2T1	AXIN2
UniProtKB:Q9Y6G9	DYNC1LI1
UniProtKB:Q96AC6	KIFC2
UniProtKB:Q96DZ5	CLIP3
UniProtKB:P10071	GLI3
UniProtKB:Q9Y6K8	AK5
UniProtKB:P30530	AXL
UniProtKB:Q9Y2M5	KLHL20
UniProtKB:Q9Y2L6	FRMD4B
UniProtKB:Q9Y2K6	USP20
UniProtKB:O75410	TACC1
UniProtKB:Q9Y2K3	MYH15
UniProtKB:Q5D1E8	ZC3H12A
UniProtKB:Q9Y2J2	EPB41L3
UniProtKB:Q9Y2I6	NINL
UniProtKB:Q9Y2I1	NISCH
UniProtKB:P84095	RHOG
UniProtKB:O95295	SNAPIN
UniProtKB:Q8ND56	LSM14A
UniProtKB:Q9Y2H9	MAST1
UniProtKB:Q9Y2H1	STK38L
UniProtKB:O75445	USH2A
UniProtKB:Q9Y2G0	EFR3B
UniProtKB:O95271	TNKS
UniProtKB:O75469	NR1I2
UniProtKB:Q9Y2E6	DTX4
UniProtKB:P17302	GJA1
UniProtKB:O75478	TADA2A
UniProtKB:Q9UH65	SWAP70
UniProtKB:Q9Y2D8	SSX2IP
UniProtKB:Q9Y6W5	WASF2
UniProtKB:Q8ND07	BBOF1
UniProtKB:O95239	KIF4A
UniProtKB:O95235	KIF20A
UniProtKB:Q8NCM8	DYNC2H1
UniProtKB:Q96A19	CCDC102A
UniProtKB:Q8NHH1	TTLL11
UniProtKB:Q9Y2A7	NCKAP1
UniProtKB:O95219	SNX4
UniProtKB:Q96GD4	AURKB
UniProtKB:Q96GD0	PDXP
UniProtKB:Q9H0K4	RSPH6A
UniProtKB:Q5JSP0	FGD3
UniProtKB:Q9H0I3	CFAP263
UniProtKB:Q9H0I2	ENKD1
UniProtKB:Q9H0H5	RACGAP1
UniProtKB:P50990	CCT8
UniProtKB:P50991	CCT4
UniProtKB:Q9H0F7	ARL6
UniProtKB:P10644	PRKAR1A
UniProtKB:Q9UIL4	KIF25
UniProtKB:Q9H0E7	USP44
UniProtKB:P10636	MAPT
UniProtKB:P37840	SNCA
UniProtKB:Q96FZ7	CHMP6
UniProtKB:Q9H0B6	KLC2
UniProtKB:Q9H0A9	SPATC1L
UniProtKB:P37802	TAGLN2
UniProtKB:Q9UIF3	TEKT2
UniProtKB:O95876	WDPCP
UniProtKB:O75386	TULP3
UniProtKB:Q96FT9	IFT43
UniProtKB:O75369	FLNB
UniProtKB:O95835	LATS1
UniProtKB:O95834	EML2
UniProtKB:Q9UIA0	CYTH4
UniProtKB:O75347	TBCA
UniProtKB:Q9H095	IQCG
UniProtKB:O95817	BAG3
UniProtKB:O95816	BAG2
UniProtKB:O75330	HMMR
UniProtKB:Q96G01	BICD1
UniProtKB:Q9H081	MIS12
UniProtKB:Q9H079	KATNBL1
UniProtKB:Q96FN5	KIF12
UniProtKB:Q9H069	DRC3
UniProtKB:Q16352	INA
UniProtKB:Q96FJ2	DYNLL2
UniProtKB:Q9Y6U3	SCIN
UniProtKB:Q52LG2	KRTAP13-2
UniProtKB:Q96ED9	HOOK2
UniProtKB:Q9Y6R9	CCDC61
UniProtKB:Q9Y2I9	TBC1D30
UniProtKB:Q96EA4	SPDL1
UniProtKB:Q9Y6Q1	CAPN6
UniProtKB:Q9UH03	SEPTIN3
UniProtKB:Q9Y6N9	USH1C
UniProtKB:Q9Y6M1	IGF2BP2
UniProtKB:Q9UGJ1	TUBGCP4
UniProtKB:Q9Y6K9	IKBKG
UniProtKB:Q96DY2	IQCD
UniProtKB:Q96AC1	FERMT2
UniProtKB:O75037	KIF21B
UniProtKB:Q9Y2S7	POLDIP2
UniProtKB:O75052	NOS1AP
UniProtKB:Q9Y6F1	PARP3
UniProtKB:Q5JQC9	AKAP4
UniProtKB:Q96DT5	DNAH11
UniProtKB:Q9Y6D9	MAD1L1
UniProtKB:Q9Y6D5	ARFGEF2
UniProtKB:Q96E40	SPACA9
UniProtKB:O75154	RAB11FIP3
UniProtKB:O75146	HIP1R
UniProtKB:Q5XKE5	KRT79
UniProtKB:Q9Y6A5	TACC3
UniProtKB:Q9Y6A4	CFAP20
UniProtKB:Q16181	SEPTIN7
UniProtKB:O75128	COBL
UniProtKB:O75122	CLASP2
UniProtKB:Q96DN5	TBC1D31
UniProtKB:O75116	ROCK2
UniProtKB:P27361	MAPK3
UniProtKB:Q96AQ6	PBXIP1
UniProtKB:Q9Y3A4	RRP7A
UniProtKB:Q9Y592	CEP83
UniProtKB:Q9Y573	IPP
UniProtKB:Q96C74	ROPN1L
UniProtKB:Q9Y4F5	CEP170B
UniProtKB:Q9Y547	IFT25
UniProtKB:Q9Y4R7	TTLL3
UniProtKB:Q9Y535	POLR3H
UniProtKB:Q96CA5	BIRC7
UniProtKB:P10276	RARA
UniProtKB:Q9Y4J8	DTNA
UniProtKB:Q9Y4P9	SPEF1
UniProtKB:Q8NEY3	SPATA4
UniProtKB:Q8NEZ3	WDR19
UniProtKB:Q8NEZ2	VPS37A
UniProtKB:Q8NEY1	NAV1
UniProtKB:Q8NF91	SYNE1
UniProtKB:Q8NEV4	MYO3A
UniProtKB:Q6QNY1	BLOC1S2
UniProtKB:Q96C92	ENTR1
UniProtKB:Q9Y4I1	MYO5A
UniProtKB:Q9Y4G6	TLN2
UniProtKB:P47872	SCTR
UniProtKB:Q9Y4F9	RIPOR2
UniProtKB:Q9Y4F4	TOGARAM1
UniProtKB:Q9Y4F1	FARP1
UniProtKB:Q8NEP3	DNAAF1
UniProtKB:Q9Y4D1	DAAM1
UniProtKB:O75298	RTN2
UniProtKB:O95425	SVIL
UniProtKB:Q8NEM0	MCPH1
UniProtKB:O95786	RIGI
UniProtKB:P40925	MDH1
UniProtKB:O95793	STAU1
UniProtKB:Q8NEH6	MNS1
UniProtKB:Q6URK8	SPMIP8
UniProtKB:O15511	ARPC5
UniProtKB:P78396	CCNA1
UniProtKB:B7ZC32	KIF28P
UniProtKB:P78386	KRT85
UniProtKB:P78385	KRT83
UniProtKB:P78371	CCT2
UniProtKB:P51157	RAB28
UniProtKB:P78352	DLG4
UniProtKB:Q86TI2	DPP9
UniProtKB:Q6H8Q1	ABLIM2
UniProtKB:P0DX04	TMSB15C
UniProtKB:Q13586	STIM1
UniProtKB:P13535	MYH8
UniProtKB:Q9H987	SYNPO2L
UniProtKB:Q9H981	ACTR8
UniProtKB:Q9H977	WDR54
UniProtKB:Q9H8V3	ECT2
UniProtKB:Q9H8S5	CCNP
UniProtKB:Q9H939	PSTPIP2
UniProtKB:P07951	TPM2
UniProtKB:P07947	YES1
UniProtKB:Q9H900	ZWILCH
UniProtKB:P07911	UMOD
UniProtKB:P07910	HNRNPC
UniProtKB:Q9NU22	MDN1
UniProtKB:Q66GS9	CEP135
UniProtKB:Q9UQN3	CHMP2B
UniProtKB:Q9H8E8	KAT14
UniProtKB:P54707	ATP12A
UniProtKB:Q8N9B5	JMY
UniProtKB:O15056	SYNJ2
UniProtKB:O15078	CEP290
UniProtKB:Q02156	PRKCE
UniProtKB:Q76KD6	SPATC1
UniProtKB:Q8N960	CEP120
UniProtKB:Q8N957	ANKFN1
UniProtKB:Q8N8S7	ENAH
UniProtKB:A2RUB6	CCDC66
ComplexPortal:CPX-6017	rzz_human
UniProtKB:P23528	CFL1
UniProtKB:Q96PQ7	KLHL5
UniProtKB:Q8N8E3	CEP112
UniProtKB:A2RU67	FAM234B
UniProtKB:O15169	AXIN1
UniProtKB:Q13009	TIAM1
UniProtKB:Q02045	MYL5
UniProtKB:Q8N7X2	STPG3
UniProtKB:Q4G0X9	CCDC40
UniProtKB:A1E959	ODAM
UniProtKB:Q8N878	FRMD1
UniProtKB:A2VCK2	DCDC2B
UniProtKB:Q8N7U6	EFHB
UniProtKB:Q8N865	SPMIP4
UniProtKB:Q4G0U5	CFAP221
UniProtKB:P24394	IL4R
UniProtKB:Q8N841	TTLL6
UniProtKB:Q4G0P3	HYDIN
UniProtKB:P80511	S100A12
UniProtKB:Q8N7M0	DYNLT5
UniProtKB:P60014	KRTAP10-10
UniProtKB:P23458	JAK1
UniProtKB:Q5MNZ9	WIPI1
UniProtKB:P23409	MYF6
UniProtKB:Q8N7B1	HORMAD2
UniProtKB:Q3MIV0	KRTAP22-1
UniProtKB:O15259	NPHP1
UniProtKB:Q66K89	E4F1
UniProtKB:Q13123	IK
UniProtKB:A0A1B0GVM6	C11orf97
UniProtKB:Q12965	MYO1E
UniProtKB:P60709	ACTB
UniProtKB:P40227	CCT6A
UniProtKB:Q96JM3	CHAMP1
UniProtKB:Q12959	DLG1
UniProtKB:Q12955	ANK3
UniProtKB:Q9NP98	MYOZ1
UniProtKB:Q12934	BFSP1
UniProtKB:Q12923	PTPN13
UniProtKB:Q12912	IRAG2
UniProtKB:Q5JWF8	ACTL10
UniProtKB:Q9NPA3	MID1IP1
UniProtKB:P50479	PDLIM4
UniProtKB:P50461	CSRP3
UniProtKB:P13861	PRKAR2A
UniProtKB:P50402	EMD
UniProtKB:Q05D60	DEUP1
UniProtKB:Q32MK0	MYLK3
UniProtKB:P13805	TNNT1
UniProtKB:Q9UN37	VPS4A
UniProtKB:P60673	PFN3
UniProtKB:P60660	MYL6
UniProtKB:P17927	CR1
UniProtKB:Q12889	OVGP1
UniProtKB:Q49MG5	MAP9
UniProtKB:P40145	ADCY8
UniProtKB:Q12873	CHD3
UniProtKB:O14786	NRP1
UniProtKB:O14782	KIF3C
UniProtKB:Q765P7	MTSS2
UniProtKB:O14777	NDC80
UniProtKB:Q4JDL3	PTPN20
UniProtKB:Q12840	KIF5A
UniProtKB:Q12834	CDC20
UniProtKB:O14745	NHERF1
UniProtKB:Q9H596	DUSP21
UniProtKB:Q12802	AKAP13
UniProtKB:O14713	ITGB1BP1
UniProtKB:Q96KX2	CAPZA3
UniProtKB:P57076	CFAP298
UniProtKB:P27816	MAP4
UniProtKB:Q02962	PAX2
UniProtKB:Q02952	AKAP12
UniProtKB:Q09666	AHNAK
UniProtKB:Q93096	PTP4A1
UniProtKB:Q8NA72	POC5
UniProtKB:Q8NA56	TTC29
UniProtKB:Q8NA54	IQUB
UniProtKB:Q8NA47	CCDC63
UniProtKB:P60983	GMFB
UniProtKB:P60981	DSTN
UniProtKB:Q93052	LPP
UniProtKB:Q9UJT9	FBXL7
UniProtKB:P60953	CDC42
UniProtKB:Q9UJV3	MID2
UniProtKB:Q9UK76	JPT1
UniProtKB:Q93008	USP9X
UniProtKB:P10909	CLU
UniProtKB:P17655	CAPN2
UniProtKB:P17661	DES
UniProtKB:Q5U5Z8	AGBL2
UniProtKB:P07437	TUBB
UniProtKB:P30153	PPP2R1A
UniProtKB:Q02833	RASSF7
UniProtKB:Q16643	DBN1
UniProtKB:P27987	ITPKB
UniProtKB:P60880	SNAP25
UniProtKB:Q9UKT4	FBXO5
UniProtKB:Q9H310	RHBG
UniProtKB:Q96IK1	BOD1
UniProtKB:Q6U7Q0	ZNF322
UniProtKB:Q9UKZ4	TENM1
UniProtKB:Q562R1	ACTBL2
UniProtKB:O14974	PPP1R12A
UniProtKB:A0A1B0GWK0	PVALEF
UniProtKB:O14966	RAB29
UniProtKB:O14965	AURKA
UniProtKB:O14950	MYL12B
UniProtKB:O95995	GAS8
UniProtKB:Q9UBY9	HSPB7
UniProtKB:Q9UBW5	BIN2
UniProtKB:Q8NCE0	TSEN2
UniProtKB:Q9UHB4	NDOR1
UniProtKB:Q9Y283	INVS
UniProtKB:Q9Y281	CFL2
UniProtKB:P50995	ANXA11
UniProtKB:Q9UBT7	CTNNAL1
UniProtKB:Q9Y266	NUDC
UniProtKB:Q9Y265	RUVBL1
ComplexPortal:CPX-997	g-atac_human
UniProtKB:Q9Y230	RUVBL2
UniProtKB:Q9UBP0	SPAST
UniProtKB:Q9Y224	RTRAF
UniProtKB:Q9UBN7	HDAC6
UniProtKB:Q9UBN4	TRPC4
UniProtKB:P07196	NEFL
UniProtKB:P07197	NEFM
UniProtKB:Q9UBK8	MTRR
UniProtKB:P27695	APEX1
UniProtKB:O95198	KLHL2
UniProtKB:Q8NC56	LEMD2
UniProtKB:Q9UBF9	MYOT
UniProtKB:Q16384	SSX1
UniProtKB:Q9UBC5	MYO1A
UniProtKB:O95140	MFN2
UniProtKB:P13693	TPT1
UniProtKB:P13647	KRT5
UniProtKB:P13646	KRT13
UniProtKB:P13645	KRT10
UniProtKB:Q96MA6	AK8
UniProtKB:Q96MC5	BMERB1
ComplexPortal:CPX-6383	katanin_al2_bl1_human
ComplexPortal:CPX-6382	katanin_al1_b1_human
ComplexPortal:CPX-6381	katanin_al1_bl1_human
ComplexPortal:CPX-6367	katanin_al2_b1_human
ComplexPortal:CPX-6366	katanin_a1_bl1_human
ComplexPortal:CPX-6365	katanin_a1_b1_human
UniProtKB:P60413	KRTAP10-12
UniProtKB:P60412	KRTAP10-11
UniProtKB:P60411	KRTAP10-9
UniProtKB:P60410	KRTAP10-8
UniProtKB:P60409	KRTAP10-7
UniProtKB:Q9NS87	KIF15
UniProtKB:O14576	DYNC1I1
UniProtKB:O14559	ARHGAP33
UniProtKB:O14530	TXNDC9
UniProtKB:Q76I76	SSH2
UniProtKB:O14513	NCKAP5
UniProtKB:P50135	HNMT
UniProtKB:Q9NSG2	FIRRM
ComplexPortal:CPX-116	cpc_human
UniProtKB:P13533	MYH6
UniProtKB:Q9UQ16	DNM3
UniProtKB:Q9UQ26	RIMS2
UniProtKB:P60372	KRTAP10-4
UniProtKB:P60371	KRTAP10-6
UniProtKB:P60370	KRTAP10-5
UniProtKB:P60369	KRTAP10-3
UniProtKB:P60368	KRTAP10-2
UniProtKB:P60331	KRTAP10-1
UniProtKB:P60329	KRTAP12-4
UniProtKB:P60328	KRTAP12-3
UniProtKB:O14492	SH2B2
UniProtKB:P54840	GYS2
UniProtKB:A0A1B0GTD5	SPMIP11
UniProtKB:P33981	TTK
UniProtKB:Q5T5M9	CCNJ
UniProtKB:Q8N9Z9	LMNTD1
UniProtKB:Q02241	KIF23
UniProtKB:Q8N9V6	ANKRD53
UniProtKB:Q02224	CENPE
UniProtKB:P13797	PLS3
UniProtKB:P13796	LCP1
UniProtKB:Q05BV3	EML5
ComplexPortal:CPX-329	escrt-iii_human
UniProtKB:Q969X0	RILPL2
UniProtKB:Q969V4	TEKT1
UniProtKB:Q9NQR4	NIT2
UniProtKB:Q969S2	NEIL2
UniProtKB:Q12798	CETN1
UniProtKB:Q12792	TWF1
UniProtKB:Q9NQT6	FSCN3
UniProtKB:Q969Q6	PPP2R3C
UniProtKB:Q969Q1	TRIM63
UniProtKB:Q12774	ARHGEF5
UniProtKB:P60510	PPP4C
UniProtKB:O14682	ENC1
UniProtKB:Q12756	KIF1A
UniProtKB:Q9NQX3	GPHN
UniProtKB:Q9H668	STN1
UniProtKB:O14656	TOR1A
UniProtKB:O14645	DNALI1
UniProtKB:O14640	DVL1
UniProtKB:Q969J3	BORCS5
UniProtKB:O14639	ABLIM1
UniProtKB:O14613	CDC42EP2
UniProtKB:O14604	TMSB4Y
UniProtKB:P50281	MMP14
UniProtKB:Q8NBH2	KY
UniProtKB:Q96G28	CFAP36
UniProtKB:P07237	P4HB
ComplexPortal:CPX-888	krt5-krt14_human
UniProtKB:P00519	ABL1
UniProtKB:Q49A88	CCDC14
UniProtKB:Q8NB90	AFG2A
UniProtKB:P30305	CDC25B
UniProtKB:O95067	CCNB2
UniProtKB:Q8NB25	FAM184A
UniProtKB:O95047	OR2A4
UniProtKB:O95045	UPP2
UniProtKB:P67775	PPP2CA
UniProtKB:O75695	RP2
UniProtKB:P03950	ANG
UniProtKB:P30281	CCND3
UniProtKB:Q96GX5	MASTL
UniProtKB:P30279	CCND2
UniProtKB:P50748	KNTC1
UniProtKB:P30260	CDC27
UniProtKB:Q05513	PRKCZ
UniProtKB:O14936	CASK
UniProtKB:O14926	FSCN2
UniProtKB:O14907	TAX1BP3
UniProtKB:Q9ULD6	INTU
UniProtKB:P0DMV8	HSPA1A
UniProtKB:P0DMV9	HSPA1B
UniProtKB:P50570	DNM2
UniProtKB:P50552	VASP
UniProtKB:Q02790	FKBP4
UniProtKB:Q9ULI4	KIF26A
UniProtKB:P13984	GTF2F2
UniProtKB:Q9ULJ8	PPP1R9A
UniProtKB:Q02763	TEK
UniProtKB:Q9ULL8	SHROOM4
UniProtKB:Q02750	MAP2K1
UniProtKB:C9JQI7	TMEM232
UniProtKB:Q5FYB0	ARSJ
UniProtKB:Q9H426	RIMS4
UniProtKB:Q9H444	CHMP4B
UniProtKB:Q9HC77	CENPJ
UniProtKB:Q13835	PKP1
UniProtKB:Q9HC35	EML4
UniProtKB:A0A096LP49	CCDC187
UniProtKB:Q13813	SPTAN1
UniProtKB:Q9HC29	NOD2
UniProtKB:Q86VW0	SESTD1
UniProtKB:Q86VV8	RTTN
UniProtKB:Q9HBL0	TNS1
UniProtKB:Q86VS8	HOOK3
UniProtKB:P78559	MAP1A
UniProtKB:Q9HBI1	PARVB
UniProtKB:Q9HBI0	PARVG
UniProtKB:Q86VQ0	LCA5
UniProtKB:Q9HBH0	RHOF
UniProtKB:Q9HBG6	IFT122
UniProtKB:Q03518	TAP1
UniProtKB:Q9NRP7	STK36
UniProtKB:Q96MC4	CEP295NL
UniProtKB:Q9H6K1	ILRUN
UniProtKB:Q96MB7	HARBI1
UniProtKB:Q9H6J7	CSTPP1
UniProtKB:Q9NRM7	LATS2
UniProtKB:P0DP25	CALM3
UniProtKB:P0DP24	CALM2
UniProtKB:P0DP23	CALM1
UniProtKB:Q9H6H4	REEP4
UniProtKB:P17987	TCP1
UniProtKB:Q9NRI5	DISC1
UniProtKB:Q9NRH3	TUBG2
UniProtKB:Q9H6D7	HAUS4
UniProtKB:Q9NRG9	AAAS
UniProtKB:Q96LZ7	RMDN2
UniProtKB:Q9H6B4	CLMP
UniProtKB:Q96M98	PACRG
UniProtKB:Q96M96	FGD4
UniProtKB:Q96M95	CCDC42
UniProtKB:Q96M91	CFAP53
UniProtKB:Q9NRD5	PICK1
UniProtKB:Q96M86	DNHD1
UniProtKB:Q9NRC6	SPTBN5
UniProtKB:Q96M69	LRGUK
UniProtKB:Q96M63	ODAD1
UniProtKB:Q96M53	TBATA
UniProtKB:O75956	CDK2AP2
UniProtKB:O75955	FLOT1
UniProtKB:O75952	CABYR
UniProtKB:Q96M29	TEKT5
UniProtKB:Q8N3I7	BBS5
UniProtKB:Q7Z4S6	KIF21A
UniProtKB:Q8N3C7	CLIP4
UniProtKB:P78317	RNF4
UniProtKB:P78325	ADAM8
UniProtKB:P51172	SCNN1D
UniProtKB:P33241	LSP1
UniProtKB:Q13509	TUBB3
UniProtKB:Q8N392	ARHGAP18
UniProtKB:Q8N386	LRRC25
UniProtKB:Q05940	SLC18A2
UniProtKB:Q13561	DCTN2
UniProtKB:P43487	RANBP1
UniProtKB:Q8N309	LRRC43
UniProtKB:Q8N300	SVBP
UniProtKB:Q5MIZ7	PPP4R3B
UniProtKB:P53675	CLTCL1
UniProtKB:P53671	LIMK2
UniProtKB:P53667	LIMK1
UniProtKB:P33176	KIF5B
UniProtKB:P53634	CTSC
UniProtKB:Q8N1V2	CFAP52
UniProtKB:Q8N264	ARHGAP24
UniProtKB:Q8N1T3	MYO1H
UniProtKB:Q8N1N4	KRT78
UniProtKB:Q6NUQ4	TMEM214
UniProtKB:P06753	TPM3
UniProtKB:Q8N1F7	NUP93
UniProtKB:P06748	NPM1
UniProtKB:P06746	POLB
UniProtKB:Q8N1D5	CFAP107
UniProtKB:P06702	S100A9
UniProtKB:Q8N1A0	KRT222
UniProtKB:P78536	ADAM17
UniProtKB:Q5TF58	IFFO2
UniProtKB:Q8N0Z3	SPICE1
UniProtKB:Q8N0Z2	ABRA
UniProtKB:Q86V20	SHLD2
UniProtKB:Q86V25	VASH2
UniProtKB:Q8N0X2	SPAG16
UniProtKB:P16949	STMN1
UniProtKB:Q86V48	LUZP1
UniProtKB:Q8N163	CCAR2
UniProtKB:Q8N157	AHI1
UniProtKB:Q9GZS0	DNAI2
UniProtKB:H0YL14	TMEM250
UniProtKB:Q8N6L0	KASH5
UniProtKB:Q76N32	CEP68
UniProtKB:Q96S97	MYADM
UniProtKB:Q494V2	CFAP100
UniProtKB:Q494U1	PLEKHN1
UniProtKB:Q494R4	DRC12
UniProtKB:Q8N5W9	RFLNB
UniProtKB:Q96SB8	SMC6
UniProtKB:Q08J23	NSUN2
ComplexPortal:CPX-2592	arp2_3_human-5
UniProtKB:Q9NY65	TUBA8
UniProtKB:P23258	TUBG1
UniProtKB:P53990	IST1
UniProtKB:A0A286YFG1	SCYGR8
UniProtKB:P53985	SLC16A1
UniProtKB:A0A286YFB4	SCYGR2
UniProtKB:Q2TBC4	PRICKLE4
UniProtKB:Q13325	IFIT5
UniProtKB:Q13326	SGCG
UniProtKB:Q13330	MTA1
UniProtKB:Q8N568	DCLK2
UniProtKB:Q8N556	AFAP1
UniProtKB:A0A286YEY9	SCYGR1
UniProtKB:A0A286YEX9	SCYGR10
UniProtKB:A0A286YEV6	SCYGR4
UniProtKB:Q8N4P2	IFT70B
UniProtKB:A0A286YF60	SCYGR3
UniProtKB:Q8N4N8	KIF2B
UniProtKB:Q9NZ56	FMN2
UniProtKB:A0A286YF46	SCYGR5
UniProtKB:Q5TID7	CCDC181
UniProtKB:A0A286YF01	SCYGR7
UniProtKB:Q9NYY3	PLK2
UniProtKB:Q8N4C6	NIN
UniProtKB:Q2TAL5	SMTNL2
UniProtKB:P04259	KRT6B
UniProtKB:Q5THR3	EFCAB6
UniProtKB:Q2TAC6	KIF19
UniProtKB:Q8N3Y1	FBXW8
UniProtKB:P20248	CCNA2
UniProtKB:P67936	TPM4
UniProtKB:Q9P2H3	IFT80
UniProtKB:Q9P2H0	CEP126
UniProtKB:Q9P2G4	MAP10
UniProtKB:Q9P2G3	KLHL14
UniProtKB:P18848	ATF4
UniProtKB:Q9P2E2	KIF17
UniProtKB:Q9P2D7	DNAH1
UniProtKB:Q07627	KRTAP1-1
UniProtKB:Q96IY1	NSL1
UniProtKB:Q9P2B4	CTTNBP2NL
UniProtKB:A8K0Z3	WASHC1
UniProtKB:P08590	MYL3
UniProtKB:Q9P1Y5	CAMSAP3
UniProtKB:Q9P287	BCCIP
UniProtKB:Q9P278	FNIP2
UniProtKB:Q9P270	SLAIN2
UniProtKB:Q9BSW2	CRACR2A
UniProtKB:Q9P1U1	ACTR3B
UniProtKB:Q9P258	RCC2
UniProtKB:Q9P253	VPS18
UniProtKB:Q9P219	CCDC88C
UniProtKB:Q9P209	CEP72
UniProtKB:Q9P202	WHRN
UniProtKB:P02730	SLC4A1
UniProtKB:P55318	FOXA3
UniProtKB:Q00839	HNRNPU
UniProtKB:Q7Z7K6	CENPV
UniProtKB:Q7Z7H3	CATIP
UniProtKB:Q9P1A6	DLGAP2
UniProtKB:Q6VEQ5	WASH2P
UniProtKB:Q7Z7B0	FILIP1
UniProtKB:Q7Z7A4	PXK
UniProtKB:Q7Z7A1	CNTRL
UniProtKB:Q6PGQ7	BORA
