Uniprot	Gene Symbol
UniProtKB:Q13627	DYRK1A
UniProtKB:Q13618	CUL3
UniProtKB:P31273	HOXC8
UniProtKB:P31271	HOXA13
UniProtKB:P06396	GSN
UniProtKB:P58418	CLRN1
UniProtKB:Q6NZY7	CDC42EP5
UniProtKB:Q15569	TESK1
UniProtKB:A0A0G2JLE6	KRTAP4-8
UniProtKB:P61978	HNRNPK
UniProtKB:P61964	WDR5
UniProtKB:P04899	GNAI2
UniProtKB:Q8WW14	SPMIP5
UniProtKB:Q8WVR3	TRAPPC14
UniProtKB:Q8WW35	DYNLT2B
UniProtKB:Q5T3F8	TMEM63B
UniProtKB:Q86YT6	MIB1
UniProtKB:Q86YS7	C2CD5
UniProtKB:Q86YS3	RAB11FIP4
UniProtKB:P31146	CORO1A
UniProtKB:Q86Z02	HIPK1
UniProtKB:P58340	MLF1
UniProtKB:P51608	MECP2
UniProtKB:Q5TB80	CEP162
UniProtKB:Q6NZ67	MZT2B
UniProtKB:Q86YF9	DZIP1
UniProtKB:Q13099	IFT88
UniProtKB:P04792	HSPB1
UniProtKB:P24387	CRHBP
UniProtKB:Q99928	GABRG3
UniProtKB:Q99932	SPAG8
UniProtKB:Q99959	PKP2
UniProtKB:Q6UVJ0	SASS6
UniProtKB:Q86XW9	NME9
UniProtKB:P51587	BRCA2
UniProtKB:P29320	EPHA3
UniProtKB:O60303	KATNIP
UniProtKB:O60313	OPA1
UniProtKB:Q9C093	SPEF2
UniProtKB:A8K5M9	C15orf62
UniProtKB:Q7LC44	ARC
UniProtKB:Q7LBR1	CHMP1B
UniProtKB:P29466	CASP1
UniProtKB:Q96GX1	TCTN2
UniProtKB:P25054	APC
UniProtKB:Q6ZMV9	KIF6
UniProtKB:P25025	CXCR2
UniProtKB:Q96HC4	PDLIM5
UniProtKB:O60487	MPZL2
UniProtKB:P29536	LMOD1
UniProtKB:C4AMC7	WASH3P
UniProtKB:P35241	RDX
UniProtKB:P35240	NF2
UniProtKB:P35236	PTPN7
UniProtKB:P35228	NOS2
UniProtKB:P35222	CTNNB1
UniProtKB:P35221	CTNNA1
UniProtKB:Q07954	LRP1
UniProtKB:O95954	FTCD
UniProtKB:Q14289	PTK2B
UniProtKB:A4D256	CDC14C
UniProtKB:Q14254	FLOT2
UniProtKB:Q14247	CTTN
UniProtKB:Q14244	MAP7
UniProtKB:A8K8P3	SFI1
UniProtKB:Q6P2H3	CEP85
UniProtKB:Q14204	DYNC1H1
UniProtKB:Q14203	DCTN1
UniProtKB:P35663	CYLC1
UniProtKB:P15153	RAC2
UniProtKB:P35612	ADD2
UniProtKB:P35611	ADD1
UniProtKB:P35609	ACTN2
UniProtKB:Q14195	DPYSL3
UniProtKB:Q14191	WRN
UniProtKB:Q14188	TFDP2
UniProtKB:Q6P1N0	CC2D1A
UniProtKB:Q14168	MPP2
UniProtKB:Q14166	TTLL12
UniProtKB:Q6P1M3	LLGL2
UniProtKB:Q14155	ARHGEF7
UniProtKB:Q14152	EIF3A
UniProtKB:Q14145	KEAP1
UniProtKB:Q14141	SEPTIN6
UniProtKB:Q6P1K2	PMF1
UniProtKB:Q14118	DAG1
UniProtKB:Q14114	LRP8
UniProtKB:P35580	MYH10
UniProtKB:Q5EBL4	RILPL1
UniProtKB:P35579	MYH9
UniProtKB:Q9BPX5	ARPC5L
UniProtKB:Q5T124	UBXN11
UniProtKB:Q07866	KLC1
ComplexPortal:CPX-2580	arp2_3_human-2
UniProtKB:Q07817	BCL2L1
UniProtKB:P45379	TNNT2
UniProtKB:P45378	TNNT3
UniProtKB:Q4VCS5	AMOT
UniProtKB:P08779	KRT16
UniProtKB:O60610	DIAPH1
UniProtKB:Q01449	MYL7
UniProtKB:P08754	GNAI3
UniProtKB:P08729	KRT7
UniProtKB:P08727	KRT19
UniProtKB:P35080	PFN2
UniProtKB:Q5T280	SPOUT1
UniProtKB:Q9BRK4	LZTS2
UniProtKB:Q3LI54	KRTAP19-8
UniProtKB:P08670	VIM
UniProtKB:P08631	HCK
UniProtKB:Q9P2S5	WRAP73
UniProtKB:Q9P2Q2	FRMD4A
UniProtKB:Q9P2P6	STARD9
UniProtKB:Q9P2P5	HECW2
UniProtKB:Q9P2M7	CGN
UniProtKB:Q9P2L0	WDR35
UniProtKB:Q9P2K6	KLHL42
UniProtKB:Q9P2K1	CC2D2A
UniProtKB:Q13576	IQGAP2
UniProtKB:Q13563	PKD2
UniProtKB:P68032	ACTC1
UniProtKB:Q13554	CAMK2B
UniProtKB:P04264	KRT1
UniProtKB:Q13526	PIN1
UniProtKB:Q13515	BFSP2
UniProtKB:Q86SX3	TEDC1
UniProtKB:Q86SQ7	SDCCAG8
UniProtKB:Q86SQ0	PHLDB2
UniProtKB:Q6NT76	HMBOX1
UniProtKB:Q86SG6	NEK8
UniProtKB:Q86SG2	ANKRD23
UniProtKB:P61266	STX1B
UniProtKB:Q86SE9	PCGF5
UniProtKB:Q13495	MAMLD1
UniProtKB:Q13485	SMAD4
UniProtKB:O15392	BIRC5
UniProtKB:Q13464	ROCK1
UniProtKB:Q9NZZ3	CHMP5
UniProtKB:Q13459	MYO9B
UniProtKB:O15379	HDAC3
UniProtKB:Q13432	UNC119
UniProtKB:O15357	INPPL1
UniProtKB:P04150	NR3C1
