Gene_symbol,log2FC_RNA,log2FC_Protein,RNA_diff,Protein_diff,RNA_protein_diff,diff_colour,Final_colour
ACADVL,0.00396602824618153,-0.8224176382603687,No,No,0.8263836665065503,Small,grey
ACAN,-2.237357497366319,-0.2630344058337939,Down,No,-1.9743230915325252,Big,blue
ACAP2,-0.1510625517141833,-0.7433047989795103,No,No,0.592242247265327,Small,grey
ACAP3,0.5019607856667596,0.9367717206825414,No,No,-0.43481093501578183,Small,grey
ACAT1,0.3478519906341151,0.3719537704952174,No,No,-0.02410177986110229,Small,grey
ACAT2,0.7039446456476934,1.492593766948282,No,Up,-0.7886491213005886,Small,ltblue
ACBD3,-0.02139102501871948,0.16878469047893319,No,No,-0.19017571549765266,Small,grey
ACBD5,-0.6369411446516096,-0.5108279226743004,No,No,-0.12611322197730912,Small,grey
ACBD6,0.09734747947226552,0.2771565450440221,No,No,-0.17980906557175658,Small,grey
ACBD7,-3.6788838568894366,-1.8290344683712974,Down,Down,-1.8498493885181393,Big,orange
ACE,-0.5487327800509277,0.07359938376576736,No,No,-0.6223321638166951,Small,grey
ACHE,-3.0733074410321377,-0.7818504354012328,Down,No,-2.291457005630905,Big,blue
ACIN1,0.7836035562781438,-0.7168733887554488,No,No,1.5004769450335926,Big,grey
ACLY,0.1723341295549341,0.6341553457175717,No,No,-0.4618212161626376,Small,grey
ACO1,0.4472156416779991,0.07205117512222081,No,No,0.3751644665557783,Small,grey
ACO2,0.057561542536268995,-0.4076706444902083,No,No,0.4652321870264773,Small,grey
ACOT1,-0.3350292694116358,-0.38781603054382074,No,No,0.052786761132184945,Small,grey
ACOT13,-1.4314984208511892,-1.0814611979553295,Down,Down,-0.3500372228958597,Small,yellow
ACOT7,-0.33798839212509435,1.0596950994453618,No,Up,-1.3976834915704561,Big,ltblue
ACOT8,0.07400024084326517,0.25555928527164795,No,No,-0.18155904442838278,Small,grey
ACOT9,-0.28325977327568763,0.6873838976752342,No,No,-0.9706436709509219,Small,grey
ACOX1,0.19961116813309276,-0.16434169560891654,No,No,0.3639528637420093,Small,grey
ACOX3,0.23366814287461435,0.08977670708858554,No,No,0.1438914357860288,Small,grey
ACP1,0.047100859843627774,-0.21631247665709097,No,No,0.26341333650071874,Small,grey
ACP2,-0.2972957323246468,-0.023780118617825252,No,No,-0.27351561370682154,Small,grey
ACSBG1,-0.7601750773790676,-0.3482691951163037,No,No,-0.4119058822627639,Small,grey
ACSF2,-1.5361561708025577,-1.1675765914439067,Down,Down,-0.36857957935865104,Small,yellow
ACSF3,0.2962010281373968,-0.7532032773734336,No,No,1.0494043055108304,Big,grey
ACSL1,0.3338876839557505,0.2576917320215504,No,No,0.07619595193420015,Small,grey
ACSL3,-1.2428322229856468,0.3891597812312053,Down,No,-1.631992004216852,Big,blue
ACSL4,-0.6431805513208322,1.0211412652292182,No,Up,-1.6643218165500504,Big,ltblue
ACSL6,-0.9520279475129702,-0.19981911083013237,No,No,-0.7522088366828378,Small,grey
ACSS1,-1.0193935626511028,-1.5223175637321598,Down,Down,0.502924001081057,Small,yellow
ACSS2,0.2860122111411276,0.8752064407810245,No,No,-0.5891942296398969,Small,grey
ACSS3,-2.291233880745373,-1.042310804857964,Down,Down,-1.2489230758874093,Big,orange
ACTB,0.23891547430047133,0.008488699108575304,No,No,0.23042677519189603,Small,grey
ACTBL2,NA,-0.011332406021644204,NA,No,NA,NA,NA
ACTC1,-3.4775460222674672,0.10366441287922612,Down,No,-3.5812104351466933,Big,blue
ACTL6A,0.5752519718487976,-1.9006747883148236,No,Down,2.4759267601636212,Big,ltblue
ACTL6B,0.6157332982152441,0.558676634919431,No,No,0.05705666329581316,Small,grey
ACTN1,0.3578318165249117,-0.5129326767909195,No,No,0.8707644933158312,Small,grey
ACTN2,4.1095541962028594,1.346747697028647,Up,Up,2.7628064991742125,Big,orange
ACTN4,-0.6847760114680854,-0.7228317904898685,No,No,0.03805577902178303,Small,grey
ACTR10,-0.05930866688314396,0.15378892009903744,No,No,-0.2130975869821814,Small,grey
ACTR1A,0.5288856307912493,-8.331518963622386e-4,No,No,0.5297187826876115,Small,grey
ACTR1B,0.2725429970193112,-0.6529334509813562,No,No,0.9254764480006674,Small,grey
ACTR2,-0.32151898416941727,0.5120178650029317,No,No,-0.8335368491723489,Small,grey
ACTR3,0.29116530787301054,0.4149752935018789,No,No,-0.12380998562886836,Small,grey
ACTR3B,1.73598414631899,1.419115839112477,Up,Up,0.31686830720651304,Small,yellow
ACTR5,1.3564764089315344,-0.36786437905422087,Up,No,1.7243407879857553,Big,blue
ACTR8,0.45080177125368603,-0.2971079694532275,No,No,0.7479097407069135,Small,grey
ACVR1,0.5140219502354206,1.4312587424763397,No,Up,-0.917236792240919,Small,ltblue
ACVR2A,0.82122261334335,0.720922751670483,No,No,0.10029986167286697,Small,grey
ACY1,-0.3059376706195964,-1.0636548916017894,No,Down,0.757717220982193,Small,ltblue
ACYP1,-1.1984781311862527,0.07873822261501218,Down,No,-1.2772163538012649,Big,blue
ACYP2,-1.3405630700209945,-0.19349909740786586,Down,No,-1.1470639726131286,Big,blue
ADA,-0.03099473933569777,-0.724365557386573,No,No,0.6933708180508753,Small,grey
ADAL,-0.5149473226411012,-0.266107239883417,No,No,-0.2488400827576842,Small,grey
ADAM10,0.5587647800969542,0.5516779090090846,No,No,0.0070868710878695396,Small,grey
ADAM11,-0.3109504549265907,1.003245659503654,No,Up,-1.3141961144302448,Big,ltblue
ADAM15,-0.39277487239022224,-0.20551070471281818,No,No,-0.18726416767740406,Small,grey
ADAM17,-0.016452791527525212,-0.9088791487019732,No,No,0.892426357174448,Small,grey
ADAM22,0.39723337962909144,0.27902995665360564,No,No,0.1182034229754858,Small,grey
ADAM23,-1.0744629285422334,0.8585497939682769,Down,No,-1.9330127225105103,Big,blue
ADAM9,-0.7994992422608251,0.11889927708045445,No,No,-0.9183985193412796,Small,grey
ADAP1,-1.2804210410646526,0.7699489970319213,Down,No,-2.050370038096574,Big,blue
ADAR,0.15140684139773164,-0.44160985732565905,No,No,0.5930166987233907,Small,grey
ADARB1,-1.441765800907628,0.47824887498589863,Down,No,-1.9200146758935266,Big,blue
ADCK1,-0.06317013559233797,0.01168180504763594,No,No,-0.07485194063997391,Small,grey
ADCY1,0.2159981438908316,1.5450736851476705,No,Up,-1.329075541256839,Big,ltblue
ADCY2,0.9045902030597546,1.5291369778813193,No,Up,-0.6245467748215647,Small,ltblue
ADCY3,0.6789773694746861,0.453172628165615,No,No,0.22580474130907113,Small,grey
ADCY5,-0.3997395336831735,-1.3906624960184946,No,Down,0.9909229623353211,Small,ltblue
ADCY6,0.145513636798293,0.26303440583379434,No,No,-0.11752076903550135,Small,grey
ADCY8,1.370787393542634,0.8227930831438197,Up,No,0.5479943103988143,Small,blue
ADCY9,-0.7762148533036966,0.5985601041218791,No,No,-1.3747749574255756,Big,grey
ADD2,1.0355971824599797,1.7605835988233096,Up,Up,-0.7249864163633299,Small,yellow
ADGRA1,NA,1.0190583358156848,NA,Up,NA,NA,NA
ADGRB1,NA,0.27010867076658585,NA,No,NA,NA,NA
ADGRB2,NA,-0.21016916571353672,NA,No,NA,NA,NA
ADGRB3,NA,0.3904720095497556,NA,No,NA,NA,NA
ADGRG1,NA,-0.5934743618555309,NA,No,NA,NA,NA
ADGRL1,NA,0.28281286682507023,NA,No,NA,NA,NA
ADGRL2,NA,-0.0778497245993961,NA,No,NA,NA,NA
ADGRL3,NA,1.7001546287140439,NA,Up,NA,NA,NA
ADGRV1,NA,-1.6905657211432414,NA,Down,NA,NA,NA
ADH5,0.41301154362884995,-0.3140693052900474,No,No,0.7270808489188973,Small,grey
ADI1,0.0988407557209996,-0.3201836024850957,No,No,0.4190243582060953,Small,grey
ADIRF,NA,-1.7318478341315586,NA,Down,NA,NA,NA
ADK,-1.1826679387576151,-0.7770616512580677,Down,No,-0.4056062874995474,Small,blue
ADNP,0.679884969389108,-0.40998881654781627,No,No,1.0898737859369243,Big,grey
ADO,-0.14056443043313838,0.7203877245606201,No,No,-0.8609521549937584,Small,grey
ADPRHL2,0.48107723716194695,-0.011159290863320237,No,No,0.4922365280252672,Small,grey
ADRA2A,3.9069735052963916,4.384115609665972,Up,Up,-0.4771421043695807,Small,yellow
ADRM1,0.5852467193834094,0.08313730625308224,No,No,0.5021094131303272,Small,grey
ADSL,0.2076655683518105,-0.43447333537674204,No,No,0.6421389037285525,Small,grey
ADSS,-0.04895199239678094,0.44909387085526653,No,No,-0.49804586325204747,Small,grey
ADSSL1,-1.3966170185477287,0.3776016925765209,Down,No,-1.7742187111242496,Big,blue
AEBP1,0.0653836184171539,1.6603443125632942,No,Up,-1.5949606941461403,Big,ltblue
AFAP1,1.024598830591406,0.5516436571723364,Up,No,0.47295517341906956,Small,blue
AFAP1L2,-1.5386262018524044,-0.11170026648188891,Down,No,-1.4269259353705155,Big,blue
AFDN,NA,0.6020555905134071,NA,No,NA,NA,NA
AFF4,0.38425489993506456,-1.2317365117952885,No,Down,1.615991411730353,Big,ltblue
AFG1L,NA,-0.9385994553358565,NA,No,NA,NA,NA
AFG3L2,0.19945956845035484,-0.15334324760564222,No,No,0.35280281605599706,Small,grey
AFM,NA,-0.2649973779283066,NA,No,NA,NA,NA
AFP,Inf,0.029314060674666464,Up,No,Inf,Big,blue
AFTPH,0.3588931306126546,0.5042768562077491,No,No,-0.1453837255950945,Small,grey
AGA,-0.10168293561059612,-0.7439738420117212,No,No,0.6422909064011251,Small,grey
AGAP1,-1.1188812638472903,0.10209658489225859,Down,No,-1.2209778487395488,Big,blue
AGAP2,-0.3698940356841227,0.4797092982955693,No,No,-0.849603333979692,Small,grey
AGAP3,0.2629015473755585,0.9029828959155566,No,No,-0.6400813485399981,Small,grey
AGBL5,-0.2662584487310151,0.1232545680116548,No,No,-0.3895130167426699,Small,grey
AGFG1,0.2169976812531722,0.23094855963379501,No,No,-0.013950878380622811,Small,grey
AGGF1,-0.3820241138388747,-0.5352371269411824,No,No,0.15321301310230773,Small,grey
AGK,-0.07968510824400665,0.025828255846867876,No,No,-0.10551336409087453,Small,grey
AGL,0.15902896646761921,-0.3368600574947962,No,No,0.4958890239624154,Small,grey
AGO1,NA,0.032520616699599714,NA,No,NA,NA,NA
AGO2,NA,-0.415639123574838,NA,No,NA,NA,NA
AGO3,NA,-0.013620890892404702,NA,No,NA,NA,NA
AGO4,NA,1.248664956227156,NA,Up,NA,NA,NA
AGPAT1,-0.06943643081389084,0.5057304841745864,No,No,-0.5751669149884773,Small,grey
AGPAT3,-0.10436980503839477,0.2395799598930033,No,No,-0.34394976493139806,Small,grey
AGPAT4,0.5438917780330086,1.0349077806545672,No,Up,-0.49101600262155864,Small,ltblue
AGPAT5,-0.012442244881743392,-0.3336122216367805,No,No,0.3211699767550371,Small,grey
AGPS,-0.3725334186508229,-0.02623002266942187,No,No,-0.34630339598140103,Small,grey
AGRN,-0.9311862839614076,-0.09892549283598129,No,No,-0.8322607911254263,Small,grey
AGT,-5.588758606320202,-0.34306531882185176,Down,No,-5.245693287498351,Big,blue
AGTPBP1,0.5817084263872254,1.3435042797990189,No,Up,-0.7617958534117935,Small,ltblue
AHCTF1,0.7748410244287677,-0.5991570436460396,No,No,1.3739980680748074,Big,grey
AHCY,0.16599690947947465,-0.12152517433363386,No,No,0.2875220838131085,Small,grey
AHCYL1,-0.58886751594707,-0.2901604084748275,No,No,-0.2987071074722425,Small,grey
AHCYL2,-0.7765125989439571,-0.24351436827799944,No,No,-0.5329982306659576,Small,grey
AHDC1,0.15849261728511177,0.8075820644718164,No,No,-0.6490894471867046,Small,grey
AHNAK,-2.3103155996261457,-0.6156296036733977,Down,No,-1.694685995952748,Big,blue
AHNAK2,-0.2527659778148188,0.30270476832061455,No,No,-0.5554707461354333,Small,grey
AHSA1,0.36078399490819457,0.3652035129591056,No,No,-0.004419518050911009,Small,grey
AHSG,1.5676703891000239,0.07269522812183737,Up,No,1.4949751609781865,Big,blue
AHSP,-2.901435447042437,-2.909232497748654,Down,Down,0.007797050706217057,Small,yellow
AIDA,0.3037948526987072,-0.22464406181169672,No,No,0.5284389145104039,Small,grey
