Gene_symbol
ABCE1
ACAA2
ACAT1
ACLY
ACO2
ACOT13
ACOT7
ACOT9
ACP1
ACTN1
ACTR1A
ACTR3
ADD2
AFDN
AFP
AHCY
AKR1B1
ALB
ALDH2
ALDH5A1
ALDH6A1
ALDH7A1
ALDH9A1
ALDOA
ALDOC
ALS2
ANAPC7
ANK2
ANXA1
ANXA5
ANXA6
AP2A1
AP3B2
APOA1
ARHGAP35
ARHGDIA
ARID1A
ARPC1A
ATAD3A
ATAT1
ATOX1
ATP1A3
ATP5F1A
ATP5F1B
ATP5F1D
ATP5IF1
ATP5MG
ATP5PB
ATP5PD
ATP5PF
ATP5PO
AUH
BASP1
BCAT2
BLVRA
BOD1L1
BPHL
BRD1
BRD2
BRD3
BRD8
BRF1
C19orf53
CALR
CAMK2A
CAMK4
CAMSAP2
CANX
CAPZA2
CAPZB
CARS
CBX1
CBX3
CCAR2
CCT2
CCT5
CCT6A
CCT7
CCT8
CDC37
CDC42
CDK1
CDV3
CENPV
CFL1
CHAMP1
CISD1
CKAP5
CKB
CLASP1
CLTC
CMBL
CNRIP1
CNTN1
CORO1C
COX4I1
COX5B
CPNE1
CREBBP
CRIP2
CRMP1
CS
CTNNA2
CTTN
CYB5R3
DAP
DBI
DCLK1
DCPS
DCTN2
DCX
DDAH2
DDX39B
DDX5
DIDO1
DLD
DLST
DMAP1
DMXL2
DNAJA1
DOCK6
DOCK7
DPY30
DPYSL2
DPYSL3
DPYSL4
DPYSL5
DYNC1H1
DYNLL1
ECH1
EEF1A1
EEF1A2
EEF1G
EIF4G2
EIF4H
EIF5A2
ENAH
ENO2
EPRS
ERC1
ERI3
ESD
EVL
EWSR1
FABP7
FAHD1
FASN
FAU
FDPS
FLNA
FSCN1
GAP43
GAPDH
GATD3B
GLUD1
GNAO1
GNG2
GNPAT
GORASP2
GOT2
GPD2
GPM6A
GPSM1
GSTO1
GTF2F1
GTF2I
H1F0
H1FX
H2AFX
H2AFY
H2AFY2
H3F3A
H3F3B
HADHA
HAGH
HBA1
HBA2
HBB
HCFC1
HDAC2
HDGF
HDGFL3
HIBCH
HIST1H1A
HIST1H1B
HIST1H1C
HIST1H1D
HIST1H1E
HIST2H2BF
HIST3H2BB
HK1
HMGA1
HMGB1
HMGB2
HMGB3
HMGCL
HMGCS1
HMGN1
HMGN2
HMGN3
HMGN4
HMGN5
HNRNPA0
HNRNPD
HNRNPDL
HNRNPK
HNRNPM
HNRNPU
HP1BP3
HSP90AA1
HSP90AB1
HSP90B1
HSPA4
HSPA8
HSPA9
HSPB1
HSPD1
HSPE1
HSPH1
HTATSF1
IDH1
IDH2
ILF3
INA
ING4
INTS4
KAT6A
KHDRBS3
KIF21A
KIF5A
KLC1
KMT2A
KMT2C
KMT2D
LASP1
LDHA
LDHB
LGALS1
LMNB1
LMNB2
MACF1
MAP1A
MAP1B
MAP2
MAP4
MAP6
MAPK8
MAPRE1
MAPRE3
MARCKS
MARCKSL1
MATR3
MCU
MDH1
MDH2
ME2
MEAF6
MECP2
MED12
MED6
MLLT1
MLLT11
MLLT3
MYH10
MYH9
NAA15
NAA50
NACA
NASP
NCAM1
NCBP1
NCL
NCOA2
NDUFA10
NDUFA9
NDUFB3
NDUFB6
NEFL
NEFM
NES
NF1
NFIA
NFIB
NIPBL
NIPSNAP3A
NNT
NOL9
NONO
NPAS1
NPM1
NSD3
NSFL1C
NUCKS1
NUDT21
NUMA1
OGDH
OTUD4
OXSR1
PAFAH1B3
PARP1
PARVA
PCCB
PDAP1
PDHA1
PDIA3
PFKM
PFN1
PFN2
PGAM1
PGD
PGK1
PGM2L1
PHF24
PI4KA
PIP4K2B
PKM
PLXNA4
PPAT
PPIA
PPIL2
PPP2CA
PPP2R1A
PRDX1
PRDX2
PRKACA
PRKDC
PSAT1
PSIP1
PSMA6
PSMD1
PSMD12
PSPC1
PTGES3
PTMA
PTMS
PUF60
RAB1A
RAB35
RAI1
RALY
RBBP5
RBM26
RBMX
RDX
REEP2
RNF40
RNPS1
RPL14
RPL19
RPL24
RPL31
RPL35
RPS11
RPS15
RPS17
RPS19
RPS20
RSF1
RTN1
RTN3
RTN4
RUVBL1
SAE1
SAFB
SCN3A
SDHA
SELENOH
SEPT11
SEPT5
SEPT6
SEPT8
SERBP1
SET
SFPQ
SH3BGRL
SH3GL3
SLC1A3
SLC25A24
SLC25A3
SLC25A4
SLC25A5
SLTM
SMAD4
SMARCC2
SMC3
SNCA
SNRPA
SNX18
SOBP
SOD1
SOD2
SOGA3
SP3
SPTAN1
SPTBN1
SRP9
SSB
STIP1
STMN1
STX1B
STXBP1
SUB1
SUCLA2
SUCLG1
SYNE2
SYNRG
SYT1
TADA3
TAOK1
TBCA
TCEAL5
TCP1
THG1L
THYN1
TKT
TLE4
TMSB10
TMSB4X
TNIK
TOX4
TPI1
TPM3
TPM4
TPR
TRAF3
TRAP1
TRIM33
TTC1
TUBA1A
TUBB
TUBB3
TUFM
TXNRD1
UBA1
UBA2
UBE2N
UBQLN1
UCHL1
UCKL1
UGP2
USP7
VAPA
VDAC1
VDAC2
VDAC3
VIM
VPS16
VPS4A
WBP11
WDR47
WIPI2
XPNPEP1
XPO1
XRCC5
XRCC6
YARS
YEATS4
YES1
YLPM1
YWHAB
YWHAE
YWHAQ
YWHAZ
ZC3H18
ZC3H4
ZFP62
ZFR
ZNF292
ZNF48
ZNF512
ZNF629
ZNF652
